"Date","CRSR.Adjusted","KOS.Adjusted","MGNI.Adjusted","DDD.Adjusted","HYLN.Adjusted","RUT.Adjusted","GSPC.Adjusted","risk.free"
2020-09-23,14.25,1.04999995231628,6.30000019073486,4.73000001907349,44.8600006103516,1451.4599609375,3236.919921875,0.000436268984715937
2020-09-24,15.5799999237061,1.03999996185303,6.21000003814697,4.65999984741211,40.5,1451.81994628906,3246.59008789062,0.000396627902876645
2020-09-25,17.25,1,6.46000003814697,4.65000009536743,44.3899993896484,1474.91003417969,3298.4599609375,0.000396627902876645
2020-09-28,18.4699993133545,1.05999994277954,6.65999984741211,4.78999996185303,48,1510.33996582031,3351.60009765625,0.000436268984715937
2020-09-29,18.7800006866455,1,6.67000007629395,4.92000007629395,53.5099983215332,1504.72998046875,3335.46997070312,0.000356982876392742
2020-09-30,20.1000003814697,0.980000019073486,6.94999980926514,4.90999984741211,49.8300018310547,1507.68994140625,3363,0.000396627902876645
2020-10-01,20.9500007629395,0.980000019073486,7.23000001907349,4.88000011444092,44.9099998474121,1531.19995117188,3380.80004882812,0.000356982876392742
2020-10-02,20.8999996185303,1.02999997138977,7.53000020980835,4.86999988555908,39.5,1539.30004882812,3348.419921875,0.000356982876392742
2020-10-05,20.0300006866455,1.12000000476837,8.3100004196167,4.98999977111816,39.1599998474121,1581.9599609375,3408.60009765625,0.000396627902876645
2020-10-06,18.2900009155273,1.03999996185303,7.98999977111816,5.36999988555908,33.2799987792969,1577.2900390625,3360.96997070312,0.000396627902876645
2020-10-07,19.1100006103516,1.08000004291534,8.28999996185303,6.3600001335144,29.3999996185303,1611.0400390625,3419.43994140625,0.000396627902876645
2020-10-08,18.3700008392334,1.12999999523163,8.19999980926514,6.3899998664856,30.9500007629395,1628.55004882812,3446.830078125,0.000356982876392742
2020-10-09,18.1100006103516,1.12999999523163,8.10999965667725,6.69000005722046,29.7299995422363,1637.55004882812,3477.13989257812,0.000396627902876645
2020-10-13,18.5599994659424,1.08000004291534,9.10999965667725,6.63000011444092,26.4899997711182,1636.84997558594,3511.92993164062,0.000436268984715937
2020-10-14,18.7900009155273,1.12000000476837,9.3100004196167,6.53999996185303,29.1399993896484,1621.65002441406,3488.669921875,0.000475906122709979
2020-10-15,18.4099998474121,1.20000004768372,8.63000011444092,6.67000007629395,28.2700004577637,1638.88000488281,3483.34008789062,0.000436268984715937
2020-10-16,19.2000007629395,1.16999995708466,8.73999977111816,6.76999998092651,27,1633.81005859375,3483.81005859375,0.000436268984715937
2020-10-19,20.0599994659424,1.13999998569489,9.3100004196167,6.94999980926514,25.5499992370605,1613.63000488281,3426.919921875,0.000436268984715937
2020-10-20,22.9699993133545,1.13999998569489,9.10000038146973,7.1399998664856,23.1499996185303,1617.7099609375,3443.1201171875,0.000396627902876645
2020-10-21,24.6399993896484,1.13999998569489,9.51000022888184,7.51999998092651,22.5499992370605,1603.78002929688,3435.56005859375,0.000396627902876645
2020-10-22,24.0200004577637,1.26999998092651,9.60999965667725,8.22999954223633,24.3099994659424,1630.25,3453.48999023438,0.000356982876392742
2020-10-23,24.6700000762939,1.33000004291534,9.8100004196167,7.65999984741211,22.1100006103516,1640.5,3465.38989257812,0.000396627902876645
2020-10-26,24.4799995422363,1.20000004768372,9.40999984741211,6.38000011444092,20.75,1605.2099609375,3400.96997070312,0.000436268984715937
2020-10-27,25.7900009155273,1.1599999666214,9.61999988555908,6.32000017166138,21.2700004577637,1590.7099609375,3390.67993164062,0.000396627902876645
2020-10-28,25.0799999237061,1.05999994277954,9.14999961853027,5.98000001907349,20,1543.28002929688,3271.03002929688,0.000396627902876645
2020-10-29,24.7999992370605,1.05999994277954,9.6899995803833,6.09999990463257,20.0499992370605,1561.57995605469,3310.11010742188,0.000356982876392742
2020-10-30,24.0400009155273,0.990000009536743,9.02999973297119,5.69000005722046,18.9200000762939,1538.47998046875,3269.9599609375,0.000356982876392742
2020-11-02,22.9699993133545,1,9.23999977111816,5.75,18.6700000762939,1568.58996582031,3310.23999023438,0.000356982876392742
2020-11-03,24.9899997711182,1,9.38000011444092,6.23999977111816,20.5599994659424,1614.30004882812,3369.15991210938,0.000396627902876645
2020-11-04,26.5799999237061,1,10.0799999237061,5.90999984741211,21.0799999237061,1615.07995605469,3443.43994140625,0.000396627902876645
2020-11-05,27.7800006866455,1.03999996185303,10.5900001525879,6.53999996185303,23.5599994659424,1660.05004882812,3510.44995117188,0.000396627902876645
2020-11-06,27.0799999237061,0.990000009536743,11.3500003814697,6.23999977111816,22.5799999237061,1648.26000976562,3509.43994140625,0.000396627902876645
2020-11-09,26.3199996948242,1.26999998092651,11.0299997329712,6.86999988555908,23.0799999237061,1705.0400390625,3550.5,0.000436268984715937
2020-11-10,27.9899997711182,1.21000003814697,10.1800003051758,7.30999994277954,23.7299995422363,1737.01000976562,3545.53002929688,0.000396627902876645
2020-11-12,28.3500003814697,1.19000005722046,9.67000007629395,7.36999988555908,23.5,1708.46997070312,3537.01000976562,0.000396627902876645
2020-11-13,29.1800003051758,1.27999997138977,10.5699996948242,7.19999980926514,22.3299999237061,1744.0400390625,3585.14990234375,0.000356982876392742
2020-11-16,30.2600002288818,1.46000003814697,11.210000038147,7.1100001335144,23.3500003814697,1785.33996582031,3626.90991210938,0.000356982876392742
2020-11-17,32.0999984741211,1.53999996185303,10.9399995803833,7.19000005722046,25.3299999237061,1791.91003417969,3609.53002929688,0.000356982876392742
2020-11-18,35.0900001525879,1.57000005245209,12.0600004196167,7.09000015258789,24.6700000762939,1769.31994628906,3567.7900390625,0.000356982876392742
